Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,11315102,"Yuning Hu","2023-11-28 14:33:09",1.00000,3,carinagirl
2,11315426,"Jason Xu01","2023-11-28 15:42:16",1.00000,3,jasonxu01
3,11315921,"Fatema Nihar","2023-11-28 17:57:44",1.00000,3,fatemanihar
4,11316406,"Srijith Reddy","2023-11-28 19:59:06",1.00000,3,srijithreddy1212
5,11316460,"Tushita Berry","2023-11-28 20:13:41",1.00000,3,tushitaberry
6,11316539,"Sai Srinivas Banotu","2023-11-28 20:34:30",1.00000,3,saisrinivasbanotu
7,11316608,Sara-Sarwath,"2023-11-28 20:59:32",1.00000,3,sarasarwath
8,11316758,"Jyotshna Garlapati","2023-11-28 21:50:50",1.00000,3,jyotshnagarlapa
9,9526795,"Nam Quách","2023-11-29 01:19:26",1.00000,1,quachnam
10,11317252,"Miaomiao Chi","2023-11-29 01:20:49",1.00000,3,miaomiaochi
11,11317285,"Apoorva Vajjiparthi","2023-11-29 01:37:47",1.00000,3,apoorvavajjiparthi
12,11317318,"Jun Xiao #2","2023-11-29 01:40:25",1.00000,3,junxiao57
13,11317452,"Xiran Liu #2","2023-11-29 02:12:34",1.00000,3,xiranliu
14,11317520,"Ying (Elaine) Chen","2023-11-29 02:27:43",1.00000,3,yingelainechen
15,11317575,"Fnu Laraib","2023-11-29 02:42:37",1.00000,3,fnularaib
16,11317610,"Tarang Bhatt","2023-11-29 02:50:46",1.00000,3,tarangbhatt
17,11317781,"Rui Huang #2","2023-11-29 03:25:18",1.00000,4,ruihuang99
18,11317863,"Tzu-Wei Wang","2023-11-29 03:42:51",1.00000,3,oskrrr
19,11317665,Rain娄越辰,"2023-11-29 03:46:29",1.00000,3,louyuechen0122
20,7904363,"Hanzhang Fang","2023-11-29 03:46:48",1.00000,1,hanzhangfang
21,11317713,alfcescoy6726,"2023-11-29 03:56:51",1.00000,2,alfcescoy6726
22,11317937,"Longyue Han","2023-11-29 04:02:07",1.00000,3,longyuehan
23,11318032,"Revathi Dasari","2023-11-29 04:37:28",1.00000,4,revathidasari
24,11318224,"Shukla Pooja","2023-11-29 05:29:54",1.00000,4,shuklapooja
25,11318323,"Huan Cao","2023-11-29 05:49:15",1.00000,3,hctrine
26,11318423,"Shuang Cheng","2023-11-29 06:06:57",1.00000,3,shuangchengs
27,11318504,"Huimin Wang","2023-11-29 06:23:21",1.00000,3,hw2671
28,11318548,"Faizan Ahmed Mohammad","2023-11-29 06:31:32",1.00000,3,faizanahmedmohammad
29,11318623,"Zaineb Siddiqui","2023-11-29 06:45:01",1.00000,3,zainebsiddiqui
30,11271763,"Yang Li #4","2023-12-12 08:12:14",1.00000,10,littlespider
31,11319403,"Md Touhedur Rahman","2023-11-29 09:33:05",1.00000,3,mdtouhedurrahman
32,11319476,"sharfuddin khaja","2023-11-29 09:48:39",1.00000,3,sharfuddinkhaja
33,11319530,"Syed Hussain Ali","2023-11-29 10:01:18",1.00000,3,syedhussainali345
34,11319770,"Hashim Shaik","2023-11-29 11:00:23",1.00000,3,hashimshaik7654
35,11319829,"Tanaswi4 ","2023-11-29 11:17:12",1.00000,3,tanaswi4
36,11321102,"Diwakar Kashyap","2023-11-29 15:44:14",1.00000,3,diwakarkashyap
37,11321120,"Ajay Potu","2023-11-29 15:48:16",1.00000,3,ajaypotu
38,11321309,"chaitanya Kotturi","2023-11-29 16:34:23",1.00000,3,chaitanyakotturi
39,11321449,"Sravan kallam","2023-11-29 17:04:11",1.00000,3,sravankallam
40,11321482,yguan7,"2023-11-29 17:14:22",1.00000,3,yguan7
41,11322134,Cutten,"2023-11-29 20:39:20",1.00000,3,qiruitrine
42,11322239,"[Deleted] 4d272d21-cc2f-47b3-8792-134f54b98167","2023-11-29 21:20:34",1.00000,3,del=e105c203fee0a804
43,11322248,"Meghan S L","2023-11-29 21:23:27",1.00000,3,meghansl
44,11322259,Bhrkpnr,"2023-11-29 21:27:05",1.00000,3,bhrkpnr
45,11322303,"Fnu Abdul Raheem Khan","2023-11-29 22:34:10",1.00000,5,wanyamadomian
46,11322311,"Avneesh Mohnot","2023-11-29 21:46:24",1.00000,3,avneeshmohnot
47,11322327," Irshaduddin Imran Mohammed","2023-11-29 22:55:39",1.00000,6,irshaduddinimranm
48,11322421,Xiahe(Candice)Li,"2023-11-29 22:26:54",1.00000,3,xiahecandiceli
49,11317043,"Heeirun Jayakumar","2023-11-29 22:36:56",1.00000,4,heeirunjayakumar
50,11322458,"Kishvinkumar Goda","2023-11-29 22:51:39",1.00000,3,kishvinkumargoda
51,11322501,"Xiaolei Situ","2023-11-29 23:05:49",1.00000,3,xiaoleisitu
52,11322485,Geeeeeeee,"2023-11-29 23:31:37",1.00000,4,geeeeeeee
53,11322622,"Jisoo Choi","2023-11-30 00:03:25",1.00000,3,jchoi129
54,11322451,"Manasa Lanka","2023-11-30 00:19:28",1.00000,7,manasalanka97
55,11322746,Surya_Yellamilli,"2023-11-30 00:47:09",1.00000,4,suryaprime
56,11322751,"Xinmei Liang","2023-11-30 00:40:50",1.00000,4,xinmeiliang
57,11322843,"Esha Khicha","2023-11-30 01:17:34",1.00000,4,eshakhicha
58,11322853,"Yinqi Wang","2023-11-30 01:18:35",1.00000,3,yinqiwang
59,6684655,"MOHAMMED OUAHMAN","2023-11-30 01:19:16",1.00000,1,mohammedouahman
60,11322934,"Xinyue(Abbie) Wang","2023-11-30 01:40:39",1.00000,3,xinyueabbiewang
61,11323063,CrystalJin1001,"2023-11-30 02:20:22",1.00000,3,crystaljin1001
62,11323092,"Aravind Siddartha Kari","2023-11-30 02:29:48",1.00000,3,aravindsiddarthakari
63,11323135,"Peipei Jiang","2023-11-30 02:40:03",1.00000,3,pwu1234
64,1676166,"Liping Yao","2023-11-30 02:41:12",1.00000,3,lilyyao
65,11323192,Xiaotian_Wang_98,"2023-11-30 02:51:41",1.00000,3,xiaotianwang98
66,11323210,"Shagun Nayyar","2023-11-30 02:57:37",1.00000,3,shagunnayyar
67,11323242,"Yicheng Wang #3","2023-11-30 03:05:33",1.00000,3,ycking21
68,11323275,"Kening Hu","2023-11-30 03:16:42",1.00000,3,keninghu
